,Account,Amount,Category,Date,Description,Memo,Original Description,Parent Category,Pending,Tags,Type
231,Home Loan,630,Shopping,2018-09-02,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
232,Personal Checking,630,Shopping,2018-09-02,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
233,Business Savings,630,Shopping,2018-09-02,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
234,MasterCard,630,Shopping,2018-09-02,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
235,401K Account,630,Investments,2018-09-02,Return Of Goods,,Return of Goods4,Investments,False,,Credit
236,Personal Savings,630,Shopping,2018-09-02,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
237,LOC Loan,630,Shopping,2018-09-02,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
262,Home Loan,810,Income,2018-08-30,Deposit,,Deposit5,Income,False,,Credit
263,Visa,810,Income,2018-08-30,Deposit,,Deposit5,Income,False,,Credit
264,Personal Checking,810,Income,2018-08-30,Deposit,,Deposit5,Income,False,,Credit
265,CD %%% Account,810,Income,2018-08-30,Deposit,,Deposit5,Income,False,,Credit
266,MasterCard,810,Income,2018-08-30,Deposit,,Deposit5,Income,False,,Credit
267,Personal Savings,810,Income,2018-08-30,Deposit,,Deposit5,Income,False,,Credit
268,Business CheckingBusiness Checking,810,Income,2018-08-30,Deposit,,Deposit5,Income,False,,Credit
269,401K Account,810,Investments,2018-08-30,Deposit,,Deposit5,Investments,False,,Credit
270,LOC Loan,810,Income,2018-08-30,Deposit,,Deposit5,Income,False,,Credit
271,Auto Loan,810,Income,2018-08-30,Deposit,,Deposit5,Income,False,,Credit
272,Business Savings,810,Income,2018-08-30,Deposit,,Deposit5,Income,False,,Credit
273,4_D_D_Checking Account4_D_D_Checking Account,810,Income,2018-08-30,Deposit,,Deposit5,Income,False,,Credit
286,Personal Checking,840,Shopping,2018-08-27,Return Of Goods Memo,Memo5,Return of Goods5 / Memo5,Shopping,False,,Credit
287,Visa,840,Shopping,2018-08-27,Return Of Goods Memo,Memo5,Return of Goods5 / Memo5,Shopping,False,,Credit
288,LOC Loan,840,Shopping,2018-08-27,Return Of Goods Memo,Memo5,Return of Goods5 / Memo5,Shopping,False,,Credit
289,CD %%% Account,840,Shopping,2018-08-27,Return Of Goods Memo,Memo5,Return of Goods5 / Memo5,Shopping,False,,Credit
290,Personal Savings,840,Shopping,2018-08-27,Return Of Goods Memo,Memo5,Return of Goods5 / Memo5,Shopping,False,,Credit
291,MasterCard,840,Shopping,2018-08-27,Return Of Goods Memo,Memo5,Return of Goods5 / Memo5,Shopping,False,,Credit
292,Home Loan,840,Shopping,2018-08-27,Return Of Goods Memo,Memo5,Return of Goods5 / Memo5,Shopping,False,,Credit
293,Auto Loan,840,Shopping,2018-08-27,Return Of Goods Memo,Memo5,Return of Goods5 / Memo5,Shopping,False,,Credit
294,401K Account,840,Investments,2018-08-27,Return Of Goods Memo,Memo5,Return of Goods5 / Memo5,Investments,False,,Credit
295,Business Savings,840,Shopping,2018-08-27,Return Of Goods Memo,Memo5,Return of Goods5 / Memo5,Shopping,False,,Credit
296,Business CheckingBusiness Checking,840,Shopping,2018-08-27,Return Of Goods Memo,Memo5,Return of Goods5 / Memo5,Shopping,False,,Credit
297,4_D_D_Checking Account4_D_D_Checking Account,840,Shopping,2018-08-27,Return Of Goods Memo,Memo5,Return of Goods5 / Memo5,Shopping,False,,Credit
322,401K Account,630,Investments,2018-08-23,Return Of Goods,,Return of Goods4,Investments,False,,Credit
323,MasterCard,630,Shopping,2018-08-23,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
324,LOC Loan,630,Shopping,2018-08-23,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
325,Personal Savings,630,Shopping,2018-08-23,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
326,CD %%% Account,630,Shopping,2018-08-23,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
327,Personal Checking,630,Shopping,2018-08-23,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
328,Visa,630,Shopping,2018-08-23,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
329,Auto Loan,630,Shopping,2018-08-23,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
330,Business CheckingBusiness Checking,630,Shopping,2018-08-23,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
331,Business Savings,630,Shopping,2018-08-23,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
332,4_D_D_Checking Account4_D_D_Checking Account,630,Shopping,2018-08-23,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
333,Home Loan,630,Shopping,2018-08-23,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
382,Personal Savings,630,Shopping,2018-08-16,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
383,Business Savings,630,Shopping,2018-08-16,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
384,401K Account,630,Investments,2018-08-16,Return Of Goods,,Return of Goods4,Investments,False,,Credit
385,MasterCard,630,Shopping,2018-08-16,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
386,CD %%% Account,630,Shopping,2018-08-16,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
387,4_D_D_Checking Account4_D_D_Checking Account,630,Shopping,2018-08-16,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
388,Business CheckingBusiness Checking,630,Shopping,2018-08-16,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
389,Personal Checking,630,Shopping,2018-08-16,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
390,Auto Loan,630,Shopping,2018-08-16,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
391,LOC Loan,630,Shopping,2018-08-16,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
392,Home Loan,630,Shopping,2018-08-16,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
393,Visa,630,Shopping,2018-08-16,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
418,Personal Savings,810,Income,2018-08-13,Deposit,,Deposit5,Income,False,,Credit
419,Home Loan,810,Income,2018-08-13,Deposit,,Deposit5,Income,False,,Credit
420,4_D_D_Checking Account4_D_D_Checking Account,810,Income,2018-08-13,Deposit,,Deposit5,Income,False,,Credit
421,Visa,810,Income,2018-08-13,Deposit,,Deposit5,Income,False,,Credit
422,Auto Loan,810,Income,2018-08-13,Deposit,,Deposit5,Income,False,,Credit
423,Personal Checking,810,Income,2018-08-13,Deposit,,Deposit5,Income,False,,Credit
424,Business CheckingBusiness Checking,810,Income,2018-08-13,Deposit,,Deposit5,Income,False,,Credit
425,MasterCard,810,Income,2018-08-13,Deposit,,Deposit5,Income,False,,Credit
426,CD %%% Account,810,Income,2018-08-13,Deposit,,Deposit5,Income,False,,Credit
427,401K Account,810,Investments,2018-08-13,Deposit,,Deposit5,Investments,False,,Credit
428,LOC Loan,810,Income,2018-08-13,Deposit,,Deposit5,Income,False,,Credit
429,Business Savings,810,Income,2018-08-13,Deposit,,Deposit5,Income,False,,Credit
442,Personal Savings,630,Shopping,2018-08-11,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
443,Visa,630,Shopping,2018-08-11,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
444,CD %%% Account,630,Shopping,2018-08-11,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
445,401K Account,630,Investments,2018-08-11,Return Of Goods,,Return of Goods4,Investments,False,,Credit
446,Personal Checking,630,Shopping,2018-08-11,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
447,Business CheckingBusiness Checking,630,Shopping,2018-08-11,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
448,LOC Loan,630,Shopping,2018-08-11,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
449,Home Loan,630,Shopping,2018-08-11,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
450,Business Savings,630,Shopping,2018-08-11,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
451,MasterCard,630,Shopping,2018-08-11,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
452,4_D_D_Checking Account4_D_D_Checking Account,630,Shopping,2018-08-11,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
453,Auto Loan,630,Shopping,2018-08-11,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
478,MasterCard,810,Income,2018-08-08,Deposit,,Deposit5,Income,False,,Credit
479,4_D_D_Checking Account4_D_D_Checking Account,810,Income,2018-08-08,Deposit,,Deposit5,Income,False,,Credit
480,Visa,810,Income,2018-08-08,Deposit,,Deposit5,Income,False,,Credit
481,Business Savings,810,Income,2018-08-08,Deposit,,Deposit5,Income,False,,Credit
482,Business CheckingBusiness Checking,810,Income,2018-08-08,Deposit,,Deposit5,Income,False,,Credit
483,Auto Loan,810,Income,2018-08-08,Deposit,,Deposit5,Income,False,,Credit
484,LOC Loan,810,Income,2018-08-08,Deposit,,Deposit5,Income,False,,Credit
485,401K Account,810,Investments,2018-08-08,Deposit,,Deposit5,Investments,False,,Credit
486,Personal Checking,810,Income,2018-08-08,Deposit,,Deposit5,Income,False,,Credit
487,Personal Savings,810,Income,2018-08-08,Deposit,,Deposit5,Income,False,,Credit
488,Home Loan,810,Income,2018-08-08,Deposit,,Deposit5,Income,False,,Credit
489,CD %%% Account,810,Income,2018-08-08,Deposit,,Deposit5,Income,False,,Credit
502,Personal Checking,840,Shopping,2018-08-05,Return Of Goods Memo,Memo5,Return of Goods5 / Memo5,Shopping,False,,Credit
503,Personal Savings,840,Shopping,2018-08-05,Return Of Goods Memo,Memo5,Return of Goods5 / Memo5,Shopping,False,,Credit
504,Business Savings,840,Shopping,2018-08-05,Return Of Goods Memo,Memo5,Return of Goods5 / Memo5,Shopping,False,,Credit
505,Business CheckingBusiness Checking,840,Shopping,2018-08-05,Return Of Goods Memo,Memo5,Return of Goods5 / Memo5,Shopping,False,,Credit
506,Home Loan,840,Shopping,2018-08-05,Return Of Goods Memo,Memo5,Return of Goods5 / Memo5,Shopping,False,,Credit
507,LOC Loan,840,Shopping,2018-08-05,Return Of Goods Memo,Memo5,Return of Goods5 / Memo5,Shopping,False,,Credit
508,401K Account,840,Investments,2018-08-05,Return Of Goods Memo,Memo5,Return of Goods5 / Memo5,Investments,False,,Credit
509,Auto Loan,840,Shopping,2018-08-05,Return Of Goods Memo,Memo5,Return of Goods5 / Memo5,Shopping,False,,Credit
510,MasterCard,840,Shopping,2018-08-05,Return Of Goods Memo,Memo5,Return of Goods5 / Memo5,Shopping,False,,Credit
511,Visa,840,Shopping,2018-08-05,Return Of Goods Memo,Memo5,Return of Goods5 / Memo5,Shopping,False,,Credit
512,CD %%% Account,840,Shopping,2018-08-05,Return Of Goods Memo,Memo5,Return of Goods5 / Memo5,Shopping,False,,Credit
513,4_D_D_Checking Account4_D_D_Checking Account,840,Shopping,2018-08-05,Return Of Goods Memo,Memo5,Return of Goods5 / Memo5,Shopping,False,,Credit
526,Home Loan,630,Shopping,2018-08-03,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
527,Business CheckingBusiness Checking,630,Shopping,2018-08-03,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
528,Personal Checking,630,Shopping,2018-08-03,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
529,4_D_D_Checking Account4_D_D_Checking Account,630,Shopping,2018-08-03,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
530,Business Savings,630,Shopping,2018-08-03,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
531,Auto Loan,630,Shopping,2018-08-03,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
532,CD %%% Account,630,Shopping,2018-08-03,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
533,401K Account,630,Investments,2018-08-03,Return Of Goods,,Return of Goods4,Investments,False,,Credit
534,LOC Loan,630,Shopping,2018-08-03,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
535,Visa,630,Shopping,2018-08-03,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
536,MasterCard,630,Shopping,2018-08-03,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
537,Personal Savings,630,Shopping,2018-08-03,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
562,Personal Checking,810,Income,2018-07-31,Deposit,,Deposit5,Income,False,,Credit
563,401K Account,810,Investments,2018-07-31,Deposit,,Deposit5,Investments,False,,Credit
564,Visa,810,Income,2018-07-31,Deposit,,Deposit5,Income,False,,Credit
565,LOC Loan,810,Income,2018-07-31,Deposit,,Deposit5,Income,False,,Credit
566,CD %%% Account,810,Income,2018-07-31,Deposit,,Deposit5,Income,False,,Credit
567,MasterCard,810,Income,2018-07-31,Deposit,,Deposit5,Income,False,,Credit
568,Personal Savings,810,Income,2018-07-31,Deposit,,Deposit5,Income,False,,Credit
569,Home Loan,810,Income,2018-07-31,Deposit,,Deposit5,Income,False,,Credit
570,Auto Loan,810,Income,2018-07-31,Deposit,,Deposit5,Income,False,,Credit
571,4_D_D_Checking Account4_D_D_Checking Account,810,Income,2018-07-31,Deposit,,Deposit5,Income,False,,Credit
572,Business Savings,810,Income,2018-07-31,Deposit,,Deposit5,Income,False,,Credit
573,Business CheckingBusiness Checking,810,Income,2018-07-31,Deposit,,Deposit5,Income,False,,Credit
596,Home Loan,630,Shopping,2018-07-26,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
597,Personal Savings,630,Shopping,2018-07-26,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
598,Personal Checking,630,Shopping,2018-07-26,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
599,Business CheckingBusiness Checking,630,Shopping,2018-07-26,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
600,Auto Loan,630,Shopping,2018-07-26,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
601,401K Account,630,Investments,2018-07-26,Return Of Goods,,Return of Goods4,Investments,False,,Credit
602,LOC Loan,630,Shopping,2018-07-26,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
603,Business Savings,630,Shopping,2018-07-26,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
604,Visa,630,Shopping,2018-07-26,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
605,CD %%% Account,630,Shopping,2018-07-26,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
626,401K Account,810,Investments,2018-07-23,Deposit,,Deposit5,Investments,False,,Credit
627,CD %%% Account,810,Income,2018-07-23,Deposit,,Deposit5,Income,False,,Credit
628,Personal Savings,810,Income,2018-07-23,Deposit,,Deposit5,Income,False,,Credit
629,Business Savings,810,Income,2018-07-23,Deposit,,Deposit5,Income,False,,Credit
630,LOC Loan,810,Income,2018-07-23,Deposit,,Deposit5,Income,False,,Credit
631,Home Loan,810,Income,2018-07-23,Deposit,,Deposit5,Income,False,,Credit
632,Business CheckingBusiness Checking,810,Income,2018-07-23,Deposit,,Deposit5,Income,False,,Credit
633,Auto Loan,810,Income,2018-07-23,Deposit,,Deposit5,Income,False,,Credit
634,Visa,810,Income,2018-07-23,Deposit,,Deposit5,Income,False,,Credit
635,Personal Checking,810,Income,2018-07-23,Deposit,,Deposit5,Income,False,,Credit
646,Business Savings,840,Shopping,2018-07-20,Return Of Goods Memo,Memo5,Return of Goods5 / Memo5,Shopping,False,,Credit
647,Personal Checking,840,Shopping,2018-07-20,Return Of Goods Memo,Memo5,Return of Goods5 / Memo5,Shopping,False,,Credit
648,CD %%% Account,840,Shopping,2018-07-20,Return Of Goods Memo,Memo5,Return of Goods5 / Memo5,Shopping,False,,Credit
649,Auto Loan,840,Shopping,2018-07-20,Return Of Goods Memo,Memo5,Return of Goods5 / Memo5,Shopping,False,,Credit
650,Visa,840,Shopping,2018-07-20,Return Of Goods Memo,Memo5,Return of Goods5 / Memo5,Shopping,False,,Credit
651,Home Loan,840,Shopping,2018-07-20,Return Of Goods Memo,Memo5,Return of Goods5 / Memo5,Shopping,False,,Credit
652,Personal Savings,840,Shopping,2018-07-20,Return Of Goods Memo,Memo5,Return of Goods5 / Memo5,Shopping,False,,Credit
653,Business CheckingBusiness Checking,840,Shopping,2018-07-20,Return Of Goods Memo,Memo5,Return of Goods5 / Memo5,Shopping,False,,Credit
654,LOC Loan,840,Shopping,2018-07-20,Return Of Goods Memo,Memo5,Return of Goods5 / Memo5,Shopping,False,,Credit
655,401K Account,840,Investments,2018-07-20,Return Of Goods Memo,Memo5,Return of Goods5 / Memo5,Investments,False,,Credit
678,Personal Checking,960,Income,2018-07-17,Deposit,,Deposit6,Income,False,,Credit
679,Auto Loan,960,Income,2018-07-17,Deposit,,Deposit6,Income,False,,Credit
680,Visa,960,Income,2018-07-17,Deposit,,Deposit6,Income,False,,Credit
681,4_D_D_Checking Account4_D_D_Checking Account,960,Income,2018-07-17,Deposit,,Deposit6,Income,False,,Credit
682,CD %%% Account,960,Income,2018-07-17,Deposit,,Deposit6,Income,False,,Credit
683,401K Account,960,Investments,2018-07-17,Deposit,,Deposit6,Investments,False,,Credit
684,MasterCard,960,Income,2018-07-17,Deposit,,Deposit6,Income,False,,Credit
685,Business Savings,960,Income,2018-07-17,Deposit,,Deposit6,Income,False,,Credit
686,Business CheckingBusiness Checking,960,Income,2018-07-17,Deposit,,Deposit6,Income,False,,Credit
687,Home Loan,960,Income,2018-07-17,Deposit,,Deposit6,Income,False,,Credit
688,Personal Savings,960,Income,2018-07-17,Deposit,,Deposit6,Income,False,,Credit
689,LOC Loan,960,Income,2018-07-17,Deposit,,Deposit6,Income,False,,Credit
714,Auto Loan,1020,Shopping,2018-07-14,Return Of Goods,,Return of Goods6,Shopping,False,,Credit
715,Home Loan,1020,Shopping,2018-07-14,Return Of Goods,,Return of Goods6,Shopping,False,,Credit
716,MasterCard,1020,Shopping,2018-07-14,Return Of Goods,,Return of Goods6,Shopping,False,,Credit
717,4_D_D_Checking Account4_D_D_Checking Account,1020,Shopping,2018-07-14,Return Of Goods,,Return of Goods6,Shopping,False,,Credit
718,CD %%% Account,1020,Shopping,2018-07-14,Return Of Goods,,Return of Goods6,Shopping,False,,Credit
719,Personal Checking,1020,Shopping,2018-07-14,Return Of Goods,,Return of Goods6,Shopping,False,,Credit
720,Visa,1020,Shopping,2018-07-14,Return Of Goods,,Return of Goods6,Shopping,False,,Credit
721,Business CheckingBusiness Checking,1020,Shopping,2018-07-14,Return Of Goods,,Return of Goods6,Shopping,False,,Credit
722,401K Account,1020,Investments,2018-07-14,Return Of Goods,,Return of Goods6,Investments,False,,Credit
723,Personal Savings,1020,Shopping,2018-07-14,Return Of Goods,,Return of Goods6,Shopping,False,,Credit
724,LOC Loan,1020,Shopping,2018-07-14,Return Of Goods,,Return of Goods6,Shopping,False,,Credit
725,Business Savings,1020,Shopping,2018-07-14,Return Of Goods,,Return of Goods6,Shopping,False,,Credit
774,Personal Checking,1260,Shopping,2018-07-08,Return Of Goods,,Return of Goods7,Shopping,False,,Credit
775,LOC Loan,1260,Shopping,2018-07-08,Return Of Goods,,Return of Goods7,Shopping,False,,Credit
776,MasterCard,1260,Shopping,2018-07-08,Return Of Goods,,Return of Goods7,Shopping,False,,Credit
777,Home Loan,1260,Shopping,2018-07-08,Return Of Goods,,Return of Goods7,Shopping,False,,Credit
778,Visa,1260,Shopping,2018-07-08,Return Of Goods,,Return of Goods7,Shopping,False,,Credit
779,Business Savings,1260,Shopping,2018-07-08,Return Of Goods,,Return of Goods7,Shopping,False,,Credit
780,CD %%% Account,1260,Shopping,2018-07-08,Return Of Goods,,Return of Goods7,Shopping,False,,Credit
781,Auto Loan,1260,Shopping,2018-07-08,Return Of Goods,,Return of Goods7,Shopping,False,,Credit
782,401K Account,1260,Investments,2018-07-08,Return Of Goods,,Return of Goods7,Investments,False,,Credit
783,Business CheckingBusiness Checking,1260,Shopping,2018-07-08,Return Of Goods,,Return of Goods7,Shopping,False,,Credit
784,4_D_D_Checking Account4_D_D_Checking Account,1260,Shopping,2018-07-08,Return Of Goods,,Return of Goods7,Shopping,False,,Credit
785,Personal Savings,1260,Shopping,2018-07-08,Return Of Goods,,Return of Goods7,Shopping,False,,Credit
810,4_D_D_Checking Account4_D_D_Checking Account,1290,Income,2018-07-05,Deposit,,Deposit8,Income,False,,Credit
811,LOC Loan,1290,Income,2018-07-05,Deposit,,Deposit8,Income,False,,Credit
812,Business Savings,1290,Income,2018-07-05,Deposit,,Deposit8,Income,False,,Credit
813,Auto Loan,1290,Income,2018-07-05,Deposit,,Deposit8,Income,False,,Credit
814,Visa,1290,Income,2018-07-05,Deposit,,Deposit8,Income,False,,Credit
815,CD %%% Account,1290,Income,2018-07-05,Deposit,,Deposit8,Income,False,,Credit
816,Personal Checking,1290,Income,2018-07-05,Deposit,,Deposit8,Income,False,,Credit
817,Personal Savings,1290,Income,2018-07-05,Deposit,,Deposit8,Income,False,,Credit
818,401K Account,1290,Investments,2018-07-05,Deposit,,Deposit8,Investments,False,,Credit
819,MasterCard,1290,Income,2018-07-05,Deposit,,Deposit8,Income,False,,Credit
820,Business CheckingBusiness Checking,1290,Income,2018-07-05,Deposit,,Deposit8,Income,False,,Credit
821,Home Loan,1290,Income,2018-07-05,Deposit,,Deposit8,Income,False,,Credit
846,Auto Loan,1470,Shopping,2018-07-02,Return Of Goods,,Return of Goods8,Shopping,False,,Credit
847,Personal Savings,1470,Shopping,2018-07-02,Return Of Goods,,Return of Goods8,Shopping,False,,Credit
848,Business CheckingBusiness Checking,1470,Shopping,2018-07-02,Return Of Goods,,Return of Goods8,Shopping,False,,Credit
849,Home Loan,1470,Shopping,2018-07-02,Return Of Goods,,Return of Goods8,Shopping,False,,Credit
850,MasterCard,1470,Shopping,2018-07-02,Return Of Goods,,Return of Goods8,Shopping,False,,Credit
851,Business Savings,1470,Shopping,2018-07-02,Return Of Goods,,Return of Goods8,Shopping,False,,Credit
852,401K Account,1470,Investments,2018-07-02,Return Of Goods,,Return of Goods8,Investments,False,,Credit
853,LOC Loan,1470,Shopping,2018-07-02,Return Of Goods,,Return of Goods8,Shopping,False,,Credit
854,Visa,1470,Shopping,2018-07-02,Return Of Goods,,Return of Goods8,Shopping,False,,Credit
855,CD %%% Account,1470,Shopping,2018-07-02,Return Of Goods,,Return of Goods8,Shopping,False,,Credit
856,Personal Checking,1470,Shopping,2018-07-02,Return Of Goods,,Return of Goods8,Shopping,False,,Credit
857,4_D_D_Checking Account4_D_D_Checking Account,1470,Shopping,2018-07-02,Return Of Goods,,Return of Goods8,Shopping,False,,Credit
882,4_D_D_Checking Account4_D_D_Checking Account,1500,Income,2018-06-29,Deposit,,Deposit9,Income,False,,Credit
883,CD %%% Account,1500,Income,2018-06-29,Deposit,,Deposit9,Income,False,,Credit
